date,levelname,project_name,status,duration

2024-07-25,,,,
2024-07-25,,,,
2024-07-25,,,,
2024-07-25,,,,
2024-07-25,,,,
2024-07-25,,,,
2024-07-25,completed,Duration job: 0h:0m:29s,,
